Pct_Delta,PCT_Change,M_P_A,M_P_B,M_P_C,M_P_D,M_P_E,M_P_F,TlncT_P_A,TlncT_P_B,TlncT_P_C,TlncT_P_D,TlncT_P_E,TlncT_P_F,CPT_P_A,CPT_P_B,CPT_P_C,CPT_P_D,CPT_P_E,CPT_P_F,MCPT_P_A,MCPT_P_B,MCPT_P_C,MCPT_P_D,MCPT_P_E,MCPT_P_F,nMCPT_P_A,nMCPT_P_B,nMCPT_P_C,nMCPT_P_D,nMCPT_P_E,nMCPT_P_F,nMTIncT_P_A,nMTIncT_P_B,nMTIncT_P_C,nMTIncT_P_D,nMTIncT_P_E,nMTIncT_P_F
0.217391304,2.3,101618.1663,44776.41389,11786.32109,1449.782,28707.72071,45178.40085,42015.24419,21436.89687,2886.33583,403.1788759,8368.011427,22903.54529,2.418602302,2.088754457,4.083489165,3.595877876,3.430650276,1.972550549,7.553875129,5.924460675,7.104060962,6.113998026,5.96831477,6.321318856,7.432223434,5.833958858,7.033478186,6.055268611,5.909016261,6.220356191,2734.52937,1535.026728,335.1491475,47.8849773,971.6582064,1452.598515
0.208333333,2.4,106036.3475,46723.2145,12298.76983,1512.816,29955.88248,47142.67915,42600.13354,21765.50072,2958.470451,413.4886601,8577.142784,23214.28397,2.489108335,2.146663892,4.157137966,3.658663818,3.492524636,2.030761715,7.768236768,6.084093314,7.229520542,6.218431355,6.073716775,6.499084853,7.647650403,5.994521838,7.160332259,6.160898869,6.015589817,6.399072846,2773.043794,1558.863768,343.5251155,49.11023642,995.9416579,1473.422175
0.2,2.5,110454.5286,48670.0151,12811.21858,1575.85,31204.04425,49106.95744,43168.88309,22085.48277,3029.353263,423.6253001,8782.64492,23516.52319,2.558660792,2.203710719,4.229027606,3.719914745,3.552921077,2.088189527,7.979709658,6.241353961,7.352042338,6.320360081,6.176650667,6.674340903,7.860117548,6.152652257,7.284156321,6.263945016,6.119617778,6.575218192,2810.50577,1582.082428,351.7557288,50.31493718,1019.8037,1493.698186
0.192307692,2.6,114872.7097,50616.8157,13323.66732,1638.884,32452.20602,51071.23574,43722.56002,22397.40236,3099.054812,433.5984661,8984.722363,23810.82615,2.627309785,2.259941349,4.299268044,3.779727394,3.611931979,2.14487458,8.188443034,6.396368181,7.471806562,6.419939145,6.277267848,6.847216017,8.069780576,6.308481262,7.405139766,6.364569944,6.22125926,6.748926803,2846.984715,1604.722709,359.8491788,51.50022749,1043.26808,1513.462428
0.185185185,2.7,119290.8909,52563.61631,13836.11606,1701.918,33700.36779,53035.51404,44262.12305,22701.76267,3167.639128,443.4169392,9183.560743,24097.6987,2.695100973,2.315398018,4.367958439,3.838188959,3.669640648,2.200853895,8.394573099,6.549250424,7.588976044,6.517308465,6.375705116,7.017827989,8.276781362,6.462128189,7.523453389,6.462920469,6.320657751,6.920321352,2882.543,1626.820601,367.8129004,52.66714972,1066.356355,1532.747147
0.178571429,2.8,123709.072,54510.41691,14348.5648,1764.952,34948.52956,54999.79234,44788.43702,22999.01816,3235.164541,453.0887232,9379.329171,24377.59702,2.762076113,2.370119304,4.435188573,3.895378343,3.726122511,2.256161355,8.598224589,6.700105377,7.703698471,6.612594884,6.472086546,7.186284746,8.481249643,6.613702023,7.63925183,6.559129448,6.41794317,7.089514067,2917.236899,1648.408614,375.6536667,53.816654,1089.088159,1551.581443
0.172413793,2.9,128127.2532,56457.21752,14861.01355,1827.986,36196.69133,56964.07063,45302.2851,23289.58084,3301.684375,462.6211384,9572.182243,24650.93413,2.828273516,2.424140559,4.501040033,3.951367216,3.781446113,2.310828074,8.79951211,6.849029109,7.816108277,6.705913806,6.56652508,7.352685488,8.683304449,6.763302634,7.752675617,6.653317552,6.513233578,7.256607957,2951.117375,1669.516228,383.3776694,54.94960929,1111.481445,1569.991681
0.2,3,132545.4343,58404.01812,15373.46229,1891.02,37444.8531,58928.34893,45804.37898,23573.8256,3367.247533,472.0209014,9762.261737,24918.08527,2.893728444,2.477494282,4.565587216,4.006220899,3.835673956,2.364882707,8.998541272,6.996110046,7.926328236,6.797370573,6.659123865,7.517121664,8.883055327,6.911021825,7.863852894,6.745594767,6.606636631,7.42169786,2984.230751,1690.17027,390.9905869,56.06681295,1133.552674,1588.00183
0.225806452,3.1,136963.6155,60350.81872,15885.91103,1954.054,38693.01487,60892.62723,46295.36757,23852.0946,3431.899,481.294193,9949.698072,25179.39251,2.958473442,2.530210437,4.62889818,4.05999912,3.888863219,2.418351722,9.195409673,7.141429812,8.034470824,6.887061646,6.749977393,7.679677815,9.080603383,7.056944227,7.972900884,6.836061653,6.698250812,7.584871341,3016.619264,1710.39523,398.4976426,57.16899873,1155.316991,1605.633754
0.21875,3.2,141381.7966,62297.61933,16398.35978,2017.088,39941.17664,62856.90553,46775.84438,24124.70116,3495.680268,490.4467175,10134.61155,25435.16864,3.02253863,2.582316726,4.691035369,4.112756653,3.94106636,2.471259633,9.390207735,7.285063951,8.140639374,6.975075606,6.839172479,7.840432295,9.276042184,7.201148074,8.079927141,6.924810438,6.78816648,7.746209463,3048.321554,1730.213535,405.9036546,58.25684379,1176.788364,1622.907457
0.212121212,3.3,145799.9778,64244.41993,16910.80852,2080.122,41189.33841,64821.18383,47246.3538,24391.93294,3558.629715,499.4837521,10317.11342,25685.70053,3.085951952,2.633838822,4.752056233,4.164543874,3.992331648,2.523629198,9.58301944,7.42708255,8.244929083,7.061494023,6.926789098,7.999457897,9.469458539,7.343705872,8.185030621,7.011925937,6.876466772,7.905787459,3079.373063,1749.64578,413.2130789,59.33097465,1197.979712,1639.841298
0.205882353,3.4,150218.1589,66191.22054,17423.25726,2143.156,42437.50018,66785.46212,47707.3965,24654.05479,3620.782917,508.4101917,10497.30683,25931.25195,3.148739397,2.684800577,4.812013772,4.215407234,4.042703606,2.575481594,9.773922965,7.567550786,8.347427869,7.1463922,7.012901116,8.156822409,9.660933173,7.484684973,8.288302608,7.097486355,6.963228376,8.063675312,3109.806397,1768.710928,420.4300467,60.39197239,1218.903011,1656.452165
0.2,3.5,154636.34,68138.02114,17935.70601,2206.19,43685.66195,68749.74042,48159.43415,24911.31116,3682.172935,517.2305865,10675.28763,26172.06611,3.210925186,2.7352242,4.870956993,4.265389669,4.092223409,2.626836572,9.962991239,7.706529401,8.448217126,7.229839821,7.09757691,8.312589085,9.85054132,7.624148086,8.389827515,7.181563982,7.048522211,8.219938265,3139.651619,1787.426487,427.5583967,61.44037721,1239.569392,1672.755639
